[2022-04-02 15:31:00.086 +05:30 INF]  Entity Framework Core "6.0.3" initialized '"UserDbContext"' using provider '"Npgsql.EntityFrameworkCore.PostgreSQL":"6.0.3+94d0a8eaeb9cf5af6ce55a9e59153c1a1be3244f"' with options: "None"
[2022-04-02 15:31:01.520 +05:30 INF]  Executed DbCommand ("120"ms) [Parameters=[""], CommandType='"Text"', CommandTimeout='30']"\r\n""SELECT p.\"Id\", p.\"Name\", k.\"Id\", k.\"KidName\", k.\"PersonId\"\r\nFROM \"Persons\" AS p\r\nLEFT JOIN \"Kids\" AS k ON p.\"Id\" = k.\"PersonId\"\r\nORDER BY p.\"Id\""
[2022-04-02 15:31:01.676 +05:30 INF]  Executing "ObjectResult", writing value of type '"System.Collections.Generic.List`1[[TestWebApi.Models.Person, TestWebApi, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]"'.
[2022-04-02 15:31:01.711 +05:30 INF]  Executed action "TestWebApi.Controllers.PeopleController.GetPersons (TestWebApi)" in 3709.1962ms
[2022-04-02 15:31:01.712 +05:30 INF]  Executed endpoint '"TestWebApi.Controllers.PeopleController.GetPersons (TestWebApi)"'
[2022-04-02 15:31:01.721 +05:30 INF]  Request finished HTTP/2 GET https://localhost:7097/api/People - - - 200 - application/json;+charset=utf-8 3797.6086ms
[2022-04-02 15:31:36.051 +05:30 INF]  Request starting HTTP/2 PUT https://localhost:7097/api/People/2 application/json 109
[2022-04-02 15:31:36.053 +05:30 INF]  Executing endpoint '"TestWebApi.Controllers.PeopleController.PutPerson (TestWebApi)"'
[2022-04-02 15:31:36.079 +05:30 INF]  Route matched with "{action = \"PutPerson\", controller = \"People\"}". Executing controller action with signature "System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] PutPerson(Int32, TestWebApi.Models.Person)" on controller "TestWebApi.Controllers.PeopleController" ("TestWebApi").
[2022-04-02 15:31:36.167 +05:30 INF]  Entity Framework Core "6.0.3" initialized '"UserDbContext"' using provider '"Npgsql.EntityFrameworkCore.PostgreSQL":"6.0.3+94d0a8eaeb9cf5af6ce55a9e59153c1a1be3244f"' with options: "None"
[2022-04-02 15:31:36.289 +05:30 INF]  Executed DbCommand ("20"ms) [Parameters=["@__person_Id_0='?' (DbType = Int32)"], CommandType='"Text"', CommandTimeout='30']"\r\n""SELECT t.\"Id\", t.\"Name\", k.\"Id\", k.\"KidName\", k.\"PersonId\"\r\nFROM (\r\n    SELECT p.\"Id\", p.\"Name\"\r\n    FROM \"Persons\" AS p\r\n    WHERE p.\"Id\" = @__person_Id_0\r\n    LIMIT 1\r\n) AS t\r\nLEFT JOIN \"Kids\" AS k ON t.\"Id\" = k.\"PersonId\"\r\nORDER BY t.\"Id\""
[2022-04-02 15:31:36.532 +05:30 INF]  Executed DbCommand ("15"ms) [Parameters=["@p1='?' (DbType = Int32), @p0='?'"], CommandType='"Text"', CommandTimeout='30']"\r\n""UPDATE \"Persons\" SET \"Name\" = @p0\r\nWHERE \"Id\" = @p1;"
[2022-04-02 15:31:36.616 +05:30 INF]  Executing "OkObjectResult", writing value of type '"TestWebApi.Models.Person"'.
[2022-04-02 15:31:36.617 +05:30 INF]  Executed action "TestWebApi.Controllers.PeopleController.PutPerson (TestWebApi)" in 537.2683ms
[2022-04-02 15:31:36.618 +05:30 INF]  Executed endpoint '"TestWebApi.Controllers.PeopleController.PutPerson (TestWebApi)"'
[2022-04-02 15:31:36.619 +05:30 INF]  Request finished HTTP/2 PUT https://localhost:7097/api/People/2 application/json 109 - 200 - application/json;+charset=utf-8 567.6524ms
[2022-04-02 15:31:49.613 +05:30 INF]  Request starting HTTP/2 GET https://localhost:7097/api/People - -
[2022-04-02 15:31:49.614 +05:30 INF]  Executing endpoint '"TestWebApi.Controllers.PeopleController.GetPersons (TestWebApi)"'
[2022-04-02 15:31:49.614 +05:30 INF]  Route matched with "{action = \"GetPersons\", controller = \"People\"}". Executing controller action with signature "System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.ActionResult`1[System.Collections.Generic.IEnumerable`1[TestWebApi.Models.Person]]] GetPersons()" on controller "TestWebApi.Controllers.PeopleController" ("TestWebApi").
[2022-04-02 15:31:49.713 +05:30 INF]  Entity Framework Core "6.0.3" initialized '"UserDbContext"' using provider '"Npgsql.EntityFrameworkCore.PostgreSQL":"6.0.3+94d0a8eaeb9cf5af6ce55a9e59153c1a1be3244f"' with options: "None"
[2022-04-02 15:31:49.725 +05:30 INF]  Executed DbCommand ("2"ms) [Parameters=[""], CommandType='"Text"', CommandTimeout='30']"\r\n""SELECT p.\"Id\", p.\"Name\", k.\"Id\", k.\"KidName\", k.\"PersonId\"\r\nFROM \"Persons\" AS p\r\nLEFT JOIN \"Kids\" AS k ON p.\"Id\" = k.\"PersonId\"\r\nORDER BY p.\"Id\""
[2022-04-02 15:31:49.728 +05:30 INF]  Executing "ObjectResult", writing value of type '"System.Collections.Generic.List`1[[TestWebApi.Models.Person, TestWebApi, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]"'.
[2022-04-02 15:31:49.728 +05:30 INF]  Executed action "TestWebApi.Controllers.PeopleController.GetPersons (TestWebApi)" in 113.6063ms
[2022-04-02 15:31:49.729 +05:30 INF]  Executed endpoint '"TestWebApi.Controllers.PeopleController.GetPersons (TestWebApi)"'
[2022-04-02 15:31:49.729 +05:30 INF]  Request finished HTTP/2 GET https://localhost:7097/api/People - - - 200 - application/json;+charset=utf-8 116.0079ms
