[2022-04-02 16:26:09.794 +05:30 INF]  Request starting HTTP/2 DELETE https://localhost:7097/api/People/1 - -
[2022-04-02 16:26:09.810 +05:30 INF]  Executing endpoint '"TestWebApi.Controllers.PeopleController.DeletePerson (TestWebApi)"'
[2022-04-02 16:26:09.859 +05:30 INF]  Route matched with "{action = \"DeletePerson\", controller = \"People\"}". Executing controller action with signature "System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] DeletePerson(Int32)" on controller "TestWebApi.Controllers.PeopleController" ("TestWebApi").
[2022-04-02 16:26:12.192 +05:30 INF]  Entity Framework Core "6.0.3" initialized '"UserDbContext"' using provider '"Npgsql.EntityFrameworkCore.PostgreSQL":"6.0.3+94d0a8eaeb9cf5af6ce55a9e59153c1a1be3244f"' with options: "None"
[2022-04-02 16:26:13.611 +05:30 INF]  Executed DbCommand ("182"ms) [Parameters=["@__id_0='?' (DbType = Int32)"], CommandType='"Text"', CommandTimeout='30']"\r\n""SELECT t.\"Id\", t.\"Name\", k.\"Id\", k.\"KidName\", k.\"PersonId\"\r\nFROM (\r\n    SELECT p.\"Id\", p.\"Name\"\r\n    FROM \"Persons\" AS p\r\n    WHERE p.\"Id\" = @__id_0\r\n    LIMIT 1\r\n) AS t\r\nLEFT JOIN \"Kids\" AS k ON t.\"Id\" = k.\"PersonId\"\r\nORDER BY t.\"Id\""
[2022-04-02 16:26:14.035 +05:30 INF]  Executed DbCommand ("16"ms) [Parameters=["@p0='?' (DbType = Int32), @p1='?' (DbType = Int32)"], CommandType='"Text"', CommandTimeout='30']"\r\n""DELETE FROM \"Kids\"\r\nWHERE \"Id\" = @p0;\r\nDELETE FROM \"Kids\"\r\nWHERE \"Id\" = @p1;"
[2022-04-02 16:26:14.054 +05:30 INF]  Executed DbCommand ("2"ms) [Parameters=["@p2='?' (DbType = Int32)"], CommandType='"Text"', CommandTimeout='30']"\r\n""DELETE FROM \"Persons\"\r\nWHERE \"Id\" = @p2;"
[2022-04-02 16:26:14.111 +05:30 INF]  Executing "OkObjectResult", writing value of type '"System.String"'.
[2022-04-02 16:26:14.131 +05:30 INF]  Executed action "TestWebApi.Controllers.PeopleController.DeletePerson (TestWebApi)" in 4255.3908ms
[2022-04-02 16:26:14.133 +05:30 INF]  Executed endpoint '"TestWebApi.Controllers.PeopleController.DeletePerson (TestWebApi)"'
[2022-04-02 16:26:14.151 +05:30 INF]  Request finished HTTP/2 DELETE https://localhost:7097/api/People/1 - - - 200 - text/plain;+charset=utf-8 4357.1788ms
